HISP_label,MIG_label,LANP,PINCP,NP,RNTP,AGEP
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,75000,2,1300,32
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,2,1300,14
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,100000,2,1300,56
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,1300,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,72000,1,850,48
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,35000,3,240,29
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,240,5
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,11400,3,240,57
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,23000,1,800,61
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9500,1,300,69
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,6000,2,510,44
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,660,2,510,18
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,35000,1,1600,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8700,5,370,37
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,5,370,44
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,10000,5,370,17
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,5,370,16
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,370,11
Dominican,"Yes, same house (nonmovers)",1200,67030,2,1100,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,65000,2,1100,34
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,15000,2,800,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8000,2,800,61
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,31200,3,500,46
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,500,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,16000,3,500,49
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9290,1,220,70
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,770,2,650,56
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,12200,2,650,54
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,1,1400,44
Guatemalan,"Yes, same house (nonmovers)",1200,8400,1,500,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9000,3,600,58
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,37000,3,600,27
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,600,6
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,42000,1,550,57
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,30000,3,530,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,4500,3,530,55
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,13000,3,530,22
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,58000,1,490,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,1,830,39
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,80000,4,850,35
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,30000,4,850,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,850,15
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,850,13
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,124000,1,1300,50
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,13200,1,400,63
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,21000,3,860,47
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,13000,3,860,27
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,860,7
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",0999,23500,1,550,48
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,70000,3,860,50
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",1200,15600,3,860,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,860,2
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,17000,1,500,75
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,2,600,52
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,16500,2,600,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,28300,1,650,64
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,44000,2,800,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,2,800,4
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,1100,2,750,63
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,1500,2,750,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,38000,2,620,40
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,34000,2,620,54
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,17000,3,1000,62
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,45000,3,1000,39
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,7000,3,1000,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36000,2,1100,55
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,25000,2,1100,60
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,10000,4,800,33
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,4,800,4
Not Spanish/Hispanic/Latino,N/A (less than 1 year old),0999,-19999,4,800,0
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,24000,4,800,37
Mexican,"Yes, same house (nonmovers)",1200,22100,5,400,27
Mexican,"Yes, same house (nonmovers)",0999,-19999,5,400,4
Mexican,"Yes, same house (nonmovers)",0999,-19999,5,400,2
Mexican,N/A (less than 1 year old),0999,-19999,5,400,0
Mexican,"Yes, same house (nonmovers)",0999,12000,5,400,26
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,14500,1,800,69
Salvadoran,"Yes, same house (nonmovers)",1200,6000,4,1200,56
Salvadoran,"Yes, same house (nonmovers)",1200,31000,4,1200,56
Salvadoran,"Yes, same house (nonmovers)",1200,30000,4,1200,32
Salvadoran,"Yes, same house (nonmovers)",1200,32000,4,1200,25
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,40000,1,1100,27
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,55000,3,800,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,800,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,800,29
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,42000,2,980,31
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,2,980,7
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36000,1,650,40
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,39800,2,1300,66
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,52000,2,1300,52
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,1,1600,23
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,60900,1,500,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,38000,2,990,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8450,2,990,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,112000,4,1600,37
Ecuadorian,"Yes, same house (nonmovers)",1200,16000,4,1600,38
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1600,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1600,8
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,18000,3,800,32
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,800,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,800,4
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,17200,1,380,54
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,19600,2,1400,65
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,82000,2,1400,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,51000,4,1100,45
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,55000,4,1100,44
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1100,7
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,1100,16
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,3,750,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,750,6
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,750,1
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,37000,1,850,68
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,20000,4,1500,41
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1500,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1500,11
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1500,9
Mexican,"Yes, same house (nonmovers)",0999,18000,2,1200,31
Mexican,"Yes, same house (nonmovers)",0999,-19999,2,1200,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,25000,2,650,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,19000,2,650,21
Mexican,"Yes, same house (nonmovers)",1200,26000,1,800,40
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,55000,4,510,42
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,74000,4,510,41
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,510,16
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,510,11
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,50000,1,800,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,18900,1,400,76
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,12100,1,450,63
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,7200,2,500,64
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8000,2,500,38
Mexican,"Yes, same house (nonmovers)",1200,10400,6,1400,33
Mexican,"Yes, same house (nonmovers)",1200,85000,6,1400,42
Mexican,"Yes, same house (nonmovers)",1200,-19999,6,1400,14
Mexican,"Yes, same house (nonmovers)",0999,-19999,6,1400,9
Mexican,"Yes, same house (nonmovers)",0999,-19999,6,1400,7
Mexican,"Yes, same house (nonmovers)",0999,-19999,6,1400,4
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,48400,5,430,27
Puerto Rican,"No, different house in US or Puerto Rico",1200,-19999,5,430,6
Puerto Rican,"No, different house in US or Puerto Rico",1200,-19999,5,430,5
Puerto Rican,N/A (less than 1 year old),0999,-19999,5,430,0
Puerto Rican,"No, different house in US or Puerto Rico",1200,1700,5,430,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,32000,5,790,28
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,23600,5,790,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,790,10
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,790,4
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,790,3
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",1170,80000,2,1800,30
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",0999,5000,2,1800,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,12300,1,130,83
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,250,51
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,10800,2,250,60
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,49000,2,900,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36000,2,900,33
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,15200,1,480,55
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,48800,2,1200,48
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",4500,29000,2,1200,43
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,37300,3,700,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,700,54
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,10000,3,700,26
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,20000,1,780,70
